poi_id,longitude,latitude,poi_code
222-222@62j-sk5-6rk,-71.156087,42.414874,713940
222-222@62j-skq-fs5,-71.425826,42.443801,713940
222-222@62j-sm9-fzz,-71.426225,42.421217,713940
222-222@62j-smd-wx5,-71.452548,42.434426,713940
222-222@62j-smr-dvz,-71.493487,42.472767,713940
222-222@62j-sn4-z4v,-71.488155,42.435372,713940
222-222@62j-snp-75z,-71.415776,42.513178,713940
222-222@62j-snp-swk,-71.404503,42.523954,713940
222-222@62j-sp3-87q,-71.346758,42.449133,713940
222-222@62j-spf-cbk,-71.437446,42.546553,713940
222-222@62j-spg-ysq,-71.427859,42.515308,713940
222-222@62j-sq2-jn5,-71.339199,42.332188,713940
222-222@62j-sqc-35z,-71.316413,42.335995,713940
222-222@62j-sqk-zj9,-71.365241,42.271569,713940
222-222@62j-sr5-b8v,-71.38804,42.364557,713940
222-222@62j-sr7-k4v,-71.42995,42.359884,713940
222-222@62j-sr8-8gk,-71.426552,42.362524,713940
222-222@62j-srf-qxq,-71.449433,42.298609,713940
222-222@62j-srg-435,-71.422087,42.29892,713940
222-222@62j-srj-8y9,-71.394862,42.313099,713940
222-222@62j-srm-5vf,-71.388451,42.294491,713940
222-222@62j-srn-t35,-71.432806,42.307146,713940
222-222@62j-srt-8jv,-71.272625,42.340542,713940
222-222@62j-sry-9s5,-71.266222,42.391211,713940
222-222@62j-srz-nnq,-71.248172,42.369679,713940
222-222@62j-srz-vmk,-71.2442,42.357693,713940
222-222@62j-ss3-brk,-71.292896,42.379144,713940
222-222@62j-ss6-wff,-71.256622,42.315204,713940
222-222@62j-ss7-p35,-71.257111,42.293312,713940
222-222@62j-ssg-ks5,-71.226063,42.307008,713940
222-222@62j-ssg-kxq,-71.228389,42.307832,713940
222-222@62j-sss-hh5,-71.361852,42.362837,713940
222-222@62j-sss-hwk,-71.367105,42.365305,713940
